0,"{'stock_qty': 1759, 'reorder_level': 500, 'reorder_qty': 1000}"
1,"{'stock_qty': 2327, 'reorder_level': 500, 'reorder_qty': 1000}"
2,"{'stock_qty': 2137, 'reorder_level': 500, 'reorder_qty': 1000}"
3,"{'stock_qty': 845, 'reorder_level': 300, 'reorder_qty': 750}"
5,"{'stock_qty': 936, 'reorder_level': 450, 'reorder_qty': 500}"
6,"{'stock_qty': 5297, 'reorder_level': 1500, 'reorder_qty': 1500}"
7,"{'stock_qty': 863, 'reorder_level': 1200, 'reorder_qty': 1250}"
8,"{'stock_qty': 2645, 'reorder_level': 1100, 'reorder_qty': 1150}"
9,"{'stock_qty': 1734, 'reorder_level': 800, 'reorder_qty': 1000}"
10,"{'stock_qty': 6378, 'reorder_level': 2000, 'reorder_qty': 2000}"
11,"{'stock_qty': 1734, 'reorder_level': 500, 'reorder_qty': 500}"
12,"{'stock_qty': 12704, 'reorder_level': 3000, 'reorder_qty': 3000}"
13,"{'stock_qty': 783, 'reorder_level': 250, 'reorder_qty': 250}"
